id,text,vilification,extreme_language,stereotype,invalidation,lack_of_empathy,dehumanization
hin_b6e7e6873bbf9764781b10c5b5c0fb57,#जुम्मा के ढील द #शनिचर के छिल द.....😅😂 #बजरंग_दल वाला फील द💪💪,1,1,1,1,1,1
hin_a32097a7013fd2ffd8ca98c02c85ab99,भाई तू #बजरंग_दल का “गुंडा👹” मात्र है .. और ये बात पूरे जहां में सबको पता है .. 😂,1,1,1,1,1,1
hin_9fcf6d4be5c7258e9fe11ff15620dcf6,#मोदी_हटाओ_देश_बचाओ,1,0,1,1,1,0
hin_e4528857d186c19e65c99f6ba098688d,अपने ही लोग गद्दार है। #जय_भीम 💙🌹,1,1,0,1,1,0
hin_2c08742760a726dd48ea861062bfa020,डीलर नहीं लिडर पैदा करो समाज में। #जय_भीम,0,0,0,0,0,0
hin_02c27be0df0aec36a90287ec5e6a0a22,राजस्थान में SC ST के विधायक दरी बिछाने का काम करें #जय_जोहर #जय_भीम,1,0,1,1,1,0
hin_5b35917e240a92e25c518f9244c7fc5c,"रामराज्य का ज्वलंत उदाहरण, हमें ऐसे रामराज्य की आवश्यकता नहीं है, हमें भीमराज चाहिए #जय_भीम",1,0,1,1,1,0
hin_5bd5d0ab4f0254c5f4ddd4c674516699,"सही बात हैं जी.. आंदोलन या पार्टी भावनाओं पर नही चलता,बल्कि विचारधारा पर चलता है। #जय_भीम #जय_मूलनिवासी #जय_बामसेफ 💙🌹",0,0,1,0,0,0
hin_8f129fc7d63ad485f16978a5b00ac31b,कोई नामुमकिन सी बात मुमकिन करके दिखा। खुद पहचान लेगा जमाना तुझे! तू भीड़ में भी अलग चल कर दिखा! #जय_भीम,0,0,0,0,0,0
hin_118ca32af1e28ed4662ef41df8b8269c,इस्लामीकरण मुबारक हो बंटे हिन्दुओ,1,1,1,1,1,0
hin_d17f829c3b2f651b2b74d33ca683864a,"शिव सेना का ""राजनीतिक इस्लामीकरण"" हो चुका है...",1,0,1,0,0,0
hin_c9682b82e49fe683e18009ea015f17f0,अब जाएंगे अगर ये ही इस्लामीकरण चलता रहा तो,1,0,0,0,0,0
hin_89c98352c503bbc9f8947a730e92e672,टीवी का पता नहीं लेकिन वामपंथी और इस्लामीकरण 2014 के बाद कुत्ता छाप पत्रकार बन गए,1,1,1,1,1,1
hin_270c26f0b76684a5c994d64af1d9724b,और खूनी कांग्रेस क्या कर रही है???? 1947 से अबतक कांग्रेस ने भारत का इस्लामीकरण किया है,1,1,1,1,1,0
hin_7fcf7a53eb9f7894fd44603d6f28e5f8,झारखंड में शिक्षा और स्कूलों का इस्लामीकरण हो रहा है। शरिया कानून चल रहा है। यह सब कोई कुछ नहीं बोलेगा।,1,0,1,0,1,0
hin_b5dcdc851f733f3ca6d785fb45ee9b46,"इस्लामीकरण करने वाले दिल्ली दंगाई, देशनविरोधी सहयोगी आज त्रिरंगे की बात करते है, ये वो ही है जो सेना पर सवाल उठाते हैं, बेशर्म",1,1,1,1,1,0
hin_fa9530c2e99bc61b7d8c8a3afa951c58,"हिंदुत्व कोई उपासना नही है, हिंदुत्व कोई मज़हब नही है, हिंदुत्व इस देश के जीवन की धारा का नाम है 🚩",0,0,1,0,0,0
hin_7d61c4b337412a8921e4d065ef112056,"""हिंदुत्व"" क्या है ? हिंदुत्व, OBC SC ST के ऊपर ""ब्राह्मणधर्म"" थोपने का ""राजनीतिक"" अभियान है......!!",1,1,1,1,1,0
hin_fd7e1f18f0520b9ff82266d414ab0ad0,हिंदुत्व एकता जिंदाबाद,0,1,0,0,0,0
hin_06254ba9b96321dad05f2601bc11ffdb,हिंदू हिंदुत्व हिंदुस्तान,0,0,0,0,0,0
hin_3c5b00e6d4dfe228b3eda7cceb91e231,हिंदुत्व का ओवरडोज,1,1,0,0,1,0
hin_382284ae3602b7bcfb5700868bc4d5f9,हमारी पहचान ये हिंदुत्व हैं 🛕⛳,0,0,1,1,0,0
hin_164026e4c7cdbd90108579dbafdcc326,I saport Nupur 🙏🙏🚩🚩🚩जय हिंदुत्व 🚩🚩🙏🙏,1,1,0,1,1,0
